index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
247	196	Walter Norman	Haworth	03/19/1883	3/19/1950	United Kingdom	United Kingdom	male	1937.0	chemistry
248	197	Paul	Karrer	04/21/1889	6/18/1971	Russia	Switzerland	male	1937.0	chemistry
249	207	Sir Robert	Robinson	09/13/1886	2/8/1975	United Kingdom	United Kingdom	male	1947.0	chemistry
250	18	Heike	Kamerlingh Onnes	09/21/1853	2/21/1926	the Netherlands	the Netherlands	male	1913.0	physics
251	552	Mikhail Sergeyevich	Gorbachev	3/2/1931	0000-00-00	USSR (now Russia)		male	1990.0	peace
252	855	Liu	Xiaobo	12/28/1955	0000-00-00	China		male	2010.0	peace
253	627	Juan Ramn	Jim_nez	12/24/1881	5/29/1958	Spain	Puerto Rico	male	1956.0	literature
254	630	Salvatore	Quasimodo	8/19/1901	6/14/1968	Italy	Italy	male	1959.0	literature
255	624	Sir Winston Leonard Spencer	Churchill	11/30/1874	1/24/1965	United Kingdom	United Kingdom	male	1953.0	literature
256	625	Ernest Miller	Hemingway	07/21/1899	7/2/1961	USA	USA	male	1954.0	literature
257	173	Paul	Sabatier	11/05/1854	8/14/1941	France	France	male	1912.0	chemistry
258	34	Charles Thomson Rees	Wilson	02/14/1869	11/15/1959	Scotland	Scotland	male	1927.0	physics
259	12	Gabriel	Lippmann	08/16/1845	7/13/1921	Luxembourg		male	1908.0	physics
260	224	Willard Frank	Libby	12/17/1908	9/8/1980	USA	USA	male	1960.0	chemistry
261	589	Knut Pedersen	Hamsun	08/04/1859	2/19/1952	Norway	Norway	male	1920.0	literature
262	642	Yasunari	Kawabata	06/11/1899	4/16/1972	Japan	Japan	male	1968.0	literature
263	659	Gabriel	GarcÍa Mrquez	3/6/1927	4/17/2014	Colombia	Mexico	male	1982.0	literature
264	660	William	Golding	9/19/1911	6/19/1993	United Kingdom	United Kingdom	male	1983.0	literature
265	11	Albert Abraham	Michelson	12/19/1852	5/9/1931	Prussia (now Poland)	USA	male	1907.0	physics
266	231	Robert Burns	Woodward	4/10/1917	7/8/1979	USA	USA	male	1965.0	chemistry
267	619	Thomas Stearns	Eliot	09/26/1888	1/4/1965	USA	United Kingdom	male	1948.0	literature
268	728	Jack S.	Kilby	11/8/1923	6/20/2005	USA	USA	male	2000.0	physics
269	699	Franco	Modigliani	6/18/1918	9/25/2003	Italy	USA	male	1985.0	economics
270	702	Maurice	Allais	5/31/1911	10/9/2010	France	France	male	1988.0	economics
271	691	Herbert A.	Simon	6/15/1916	2/9/2001	USA	USA	male	1978.0	economics
272	75	Robert	Hofstadter	2/5/1915	11/17/1990	USA	USA	male	1961.0	physics
273	77	Lev Davidovich	Landau	1/22/1908	4/1/1968	Russian Empire (now Azerbaijan)	USSR (now Russia)	male	1962.0	physics
274	661	Jaroslav	Seifert	9/23/1901	1/10/1986	Austria-Hungary (now Czech Republic)	Czechoslovakia	male	1984.0	literature
275	655	Odysseus	Elytis	11/2/1911	3/18/1996	Crete (now Greece)	Greece	male	1979.0	literature
276	620	William	Faulkner	09/25/1897	7/6/1962	USA	USA	male	1949.0	literature
277	64	Polykarp	Kusch	1/26/1911	3/20/1993	Germany	USA	male	1955.0	physics
278	54	Hideki	Yukawa	1/23/1907	9/8/1981	Japan	Japan	male	1949.0	physics
279	54	Hideki	Yukawa	1/23/1907	9/8/1981	Japan	Japan	male	1949.0	physics
280	639	Shmuel Yosef	Agnon	07/17/1888	2/17/1970	Austria-Hungary (now Ukraine)	Israel	male	1966.0	literature
281	634	John	Steinbeck	2/27/1902	12/20/1968	USA	USA	male	1962.0	literature
282	203	Artturi Ilmari	Virtanen	01/15/1895	11/11/1973	Russian Empire (now Finland)	Finland	male	1945.0	chemistry
283	217	Linus Carl	Pauling	2/28/1901	8/19/1994	USA	USA	male	1954.0	chemistry
284	248	Vladimir	Prelog	7/23/1906	1/7/1998	Austria-Hungary (now Bosnia and Herzegovina)	Switzerland	male	1975.0	chemistry
285	208	Arne Wilhelm Kaurin	Tiselius	8/10/1902	10/29/1971	Sweden	Sweden	male	1948.0	chemistry
286	225	Melvin	Calvin	4/8/1911	1/8/1997	USA	USA	male	1961.0	chemistry
287	76	Rudolf Ludwig	M_ssbauer	1/31/1929	9/14/2011	Germany		male	1961.0	physics
288	76	Rudolf Ludwig	M_ssbauer	1/31/1929	9/14/2011	Germany		male	1961.0	physics
289	188	Hans	Fischer	07/27/1881	3/31/1945	Germany	Germany	male	1930.0	chemistry
290	176	Richard Martin	Willst_tter	08/13/1872	8/3/1942	Germany	Switzerland	male	1915.0	chemistry
291	934	Juan Manuel	Santos	0000/00/00	0000-00-00	Colombia		male	2016.0	peace
292	49	Isidor Isaac	Rabi	07/29/1898	1/11/1988	Austria-Hungary (now Poland)	USA	male	1944.0	physics
293	696	George J.	Stigler	1/17/1911	12/1/1991	USA	USA	male	1982.0	economics
294	27	Niels Henrik David	Bohr	10/07/1885	11/18/1962	Denmark	Denmark	male	1922.0	physics
295	26	Albert	Einstein	03/14/1879	4/18/1955	Germany	USA	male	1921.0	physics
296	816	Gerhard	Ertl	10/10/1936	0000-00-00	Germany		male	2007.0	chemistry
297	806	Roger D.	Kornberg	4/24/1947	0000-00-00	USA		male	2006.0	chemistry
298	292	Ahmed H.	Zewail	2/26/1946	8/2/2016	Egypt		male	1999.0	chemistry
299	249	William N.	Lipscomb	12/9/1919	4/14/2011	USA	USA	male	1976.0	chemistry
